word,source,date,title,frequency
"Policy»,",https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
en,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",8
référence,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
lieu,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
où,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
sa,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
première,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
version,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
"annoncée,",https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
1984.,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
Elle,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
s'applique,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
pays,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",2
dont,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
système,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
santé,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",3
reçoit,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
l'aide,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
financière,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
part,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
des,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",8
États-Unis.,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
